
7,344|7,867|0,081|0|54|7047|7047|38,762|75|140|163|1711500|L-BinaryTree-it06|clear
14,628|16,695|0,076|1|114|12436|12436|93,857|117|141|171|2820987|L-BinaryTree-it06|clear
4,262|3,766|0,144|0|15|3047|3047|13,4|50|139|45|312750|L-BinaryTree-it06|clear
10,043|9,338|0,149|6|35|5016|5016|33,568|94|127|110|1313180|L-BinaryTree-it06|clear
6,711|7,41|0,103|3|37|5180|5180|34,093|56|142|68|540736|L-BinaryTree-it06|clear
12,101|14,492|0,082|17|93|10761|10761|87,903|119|140|163|2715580|L-BinaryTree-it06|clear
12,478|16,915|0,083|14|104|11597|11597|86,944|89|143|125|1590875|L-BinaryTree-it06|clear
14,907|17,927|0,078|3|117|12632|12632|99,589|163|139|118|2673526|L-BinaryTree-it06|clear
11,067|14,491|0,11|8|67|8370|8370|57,909|72|142|125|1278000|L-BinaryTree-it06|clear
14,12|16,42|0,078|9|104|11583|11583|77,036|118|140|139|2296280|L-BinaryTree-it06|clear
24,812|29,435|0,076|23|189|18900|18900|189,389|193|177|201|6866361|L-BinaryTree-it08|clear
21,718|30,779|0,079|31|186|18077|18077|170,291|184|182|153|5123664|L-BinaryTree-it08|clear
20,081|19,552|0,071|10|143|14800|14800|105,048|156|175|208|5678400|L-BinaryTree-it08|clear
26,525|31,801|0,084|31|185|18797|18797|175,207|172|179|186|5726568|L-BinaryTree-it08|clear
39,992|48,848|0,072|20|325|30830|30830|321,872|217|179|213|8273559|L-BinaryTree-it08|clear
71,939|79,236|0,073|81|518|46487|46487|586,303|211|218|277|1,274145E+07|L-BinaryTree-it10|clear
31,071|28,553|0,062|13|231|21828|21828|203,564|205|210|228|9815400|L-BinaryTree-it10|clear
122,676|205,832|0,103|271|884|80048|80048|1218,567|246|217|274|1,462667E+07|L-BinaryTree-it10|clear
125,437|182,913|0,087|120|949|85202|85202|1186,081|323|236|312|2,378314E+07|L-BinaryTree-it10|clear
374,62|110,468|0,051|249|446|35158|35158|614,301|176|133|170|3979360|L-Bush-it12|clear
390,704|91,518|0,05|178|370|31295|31295|579,303|184|125|158|3634000|L-Bush-it12|clear
18,285|3122,654|0,043|880|2433|133842|133842|3171,367|201|276|193|1,070687E+07|SC-Acacia-it08|clear
294,633|116,266|0,076|87|319|48358|48358|687,151|198|239|209|9890298|L-Tree-it12|clear
